WEEK_NUMBER_IN_FISCAL_YEAR,FISCAL_YEAR,SKU_DISPLAY_NUMBER,STYLE_DISPLAY_NUMBER,AVG_SALE_PRICE,SALES_UNIT,INSTOCK,AVG
18,2021,29*****,383-***********,223.6,1,,
19,2021,29*****,383-***********,433.8,17,6.6%,157
20,2021,29*****,383-***********,346.6,22,32.4%,157
21,2021,29*****,383-***********,412.8,28,60.2%,157
22,2021,29*****,383-***********,359.1,17,59.7%,157
23,2021,29*****,383-***********,423.6,36,59.8%,157
24,2021,29*****,383-***********,313.7,55,60.4%,157
25,2021,29*****,383-***********,378.1,46,64.6%,157
26,2021,29*****,383-***********,397.2,43,65.0%,157
27,2021,29*****,383-***********,395.8,42,68.8%,157
28,2021,29*****,383-***********,408.3,27,74.4%,157
29,2021,29*****,383-***********,405.1,37,79.8%,157
30,2021,29*****,383-***********,389.0,25,87.2%,157
31,2021,29*****,383-***********,401.2,27,92.4%,157
32,2021,29*****,383-***********,436.2,40,94.1%,157
33,2021,29*****,383-***********,434.1,35,92.3%,157
34,2021,29*****,383-***********,405.2,26,92.0%,157
35,2021,29*****,383-***********,454.8,27,94.4%,157
36,2021,29*****,383-***********,439.8,31,94.1%,157
37,2021,29*****,383-***********,443.2,34,92.3%,157
38,2021,29*****,383-***********,427.8,25,94.8%,157
39,2021,29*****,383-***********,417.5,28,94.5%,157
40,2021,29*****,383-***********,412.1,21,95.5%,157
41,2021,29*****,383-***********,401.1,39,98.1%,156
42,2021,29*****,383-***********,453.9,57,98.9%,156
43,2021,29*****,383-***********,468.2,26,99.5%,156
44,2021,29*****,383-***********,444.9,26,99.2%,157
45,2021,29*****,383-***********,371.7,49,98.7%,157
46,2021,29*****,383-***********,416.0,41,98.7%,157
47,2021,29*****,383-***********,412.2,62,98.6%,157
48,2021,29*****,383-***********,419.8,137,98.7%,157
49,2021,29*****,383-***********,430.8,48,98.7%,157
50,2021,29*****,383-***********,376.8,108,99.1%,157
51,2021,29*****,383-***********,348.0,105,99.2%,157
52,2021,29*****,383-***********,392.7,93,98.5%,157
1,2022,29*****,383-***********,466.8,46,98.0%,157
2,2022,29*****,383-***********,441.2,17,98.1%,157
3,2022,29*****,383-***********,466.6,24,97.7%,157
4,2022,29*****,383-***********,422.4,19,98.0%,157
5,2022,29*****,383-***********,411.5,20,99.0%,157
6,2022,29*****,383-***********,420.4,27,99.0%,157
7,2022,29*****,383-***********,419.5,31,99.7%,157
8,2022,29*****,383-***********,409.2,27,99.5%,157
9,2022,29*****,383-***********,417.9,26,100.0%,157
10,2022,29*****,383-***********,404.7,16,99.9%,157
11,2022,29*****,383-***********,350.0,18,97.1%,158
12,2022,29*****,383-***********,405.4,24,99.4%,157
13,2022,29*****,383-***********,439.5,31,99.4%,157
14,2022,29*****,383-***********,396.7,47,99.4%,157
15,2022,29*****,383-***********,378.6,63,99.4%,157
16,2022,29*****,383-***********,319.5,92,99.4%,157
17,2022,29*****,383-***********,319.3,98,99.7%,157
18,2022,29*****,383-***********,322.7,125,99.6%,157
19,2022,29*****,383-***********,315.8,94,98.1%,157
20,2022,29*****,383-***********,324.0,115,99.1%,157
21,2022,29*****,383-***********,321.1,125,99.7%,157
22,2022,29*****,383-***********,320.0,158,99.3%,157
23,2022,29*****,383-***********,339.5,119,98.1%,156
24,2022,29*****,383-***********,335.8,74,99.4%,155
25,2022,29*****,383-***********,415.7,69,99.7%,155
26,2022,29*****,383-***********,436.6,22,42.8%,155
27,2022,29*****,383-***********,275.0,1,,
36,2022,29*****,383-***********,287.5,8,,
37,2022,29*****,383-***********,300.8,71,42.9%,156
38,2022,29*****,383-***********,390.9,36,100.0%,156
39,2022,29*****,383-***********,395.6,30,100.0%,156
40,2022,29*****,383-***********,369.0,20,100.0%,156
41,2022,29*****,383-***********,368.5,34,100.0%,156
42,2022,29*****,383-***********,388.4,30,100.0%,156
43,2022,29*****,383-***********,397.9,17,100.0%,156
44,2022,29*****,383-***********,392.9,29,100.0%,156
45,2022,29*****,383-***********,394.8,42,100.0%,156
46,2022,29*****,383-***********,418.6,28,100.0%,156
47,2022,29*****,383-***********,369.1,32,100.0%,156
48,2022,29*****,383-***********,316.3,859,99.6%,156
49,2022,29*****,383-***********,329.6,139,95.0%,156
50,2022,29*****,383-***********,379.7,69,96.2%,156
51,2022,29*****,383-***********,376.6,85,97.2%,156
52,2022,29*****,383-***********,393.2,91,98.4%,156
53,2022,29*****,383-***********,426.3,59,98.7%,156
1,2023,29*****,383-***********,420.6,32,99.0%,156
2,2023,29*****,383-***********,430.3,29,97.7%,156
3,2023,29*****,383-***********,423.4,34,98.4%,156
4,2023,29*****,383-***********,387.2,26,98.7%,156
5,2023,29*****,383-***********,443.9,19,98.9%,156
6,2023,29*****,383-***********,425.0,24,99.4%,156
7,2023,29*****,383-***********,363.9,46,99.4%,156
8,2023,29*****,383-***********,357.2,58,98.7%,156
9,2023,29*****,383-***********,354.9,59,98.6%,156
10,2023,29*****,383-***********,366.2,63,97.6%,156
11,2023,29*****,383-***********,361.7,81,97.7%,156
12,2023,29*****,383-***********,305.8,88,96.3%,156
13,2023,29*****,383-***********,336.5,83,97.4%,156
14,2023,29*****,383-***********,345.2,104,96.6%,156
15,2023,29*****,383-***********,313.9,104,98.3%,156
16,2023,29*****,383-***********,356.2,139,99.5%,156
17,2023,29*****,383-***********,330.6,102,99.9%,156
18,2023,29*****,383-***********,338.0,110,100.0%,156
19,2023,29*****,383-***********,342.8,153,99.5%,156
20,2023,29*****,383-***********,351.4,124,99.7%,156
21,2023,29*****,383-***********,340.8,146,99.8%,156
21,2023,36*****,24*************,537.1,8,24.7%,153
21,2023,36*****,36*************,431.5,8,23.3%,73
22,2023,29*****,383-***********,322.9,190,42.4%,156
22,2023,36*****,24*************,583.6,39,91.6%,153
22,2023,36*****,36*************,536.6,13,84.7%,73
23,2023,29*****,383-***********,271.7,149,,
23,2023,36*****,24*************,595.7,44,98.2%,153
23,2023,36*****,36*************,428.7,8,97.7%,73
24,2023,29*****,383-***********,258.8,238,,
24,2023,36*****,24*************,581.8,83,98.1%,153
24,2023,36*****,36*************,578.3,23,98.6%,73
25,2023,29*****,383-***********,228.1,102,,
25,2023,36*****,24*************,649.1,35,69.7%,153
25,2023,36*****,36*************,552.1,12,70.8%,73
26,2023,29*****,383-***********,0.0,88.22,0.0%,0
26,2023,36*****,24*************,0.0,80.34,0.0%,0
26,2023,36*****,36*************,0.0,36.67,0.0%,0
27,2023,29*****,383-***********,0.0,82.97,0.0%,0
27,2023,36*****,24*************,0.0,75.74,0.0%,0
27,2023,36*****,36*************,0.0,34.51,0.0%,0
28,2023,29*****,383-***********,0.0,77.52,0.0%,0
28,2023,36*****,24*************,0.0,69.56,0.0%,0
28,2023,36*****,36*************,0.0,30.72,0.0%,0
29,2023,29*****,383-***********,0.0,67.69,0.0%,0
29,2023,36*****,24*************,0.0,60.54,0.0%,0
29,2023,36*****,36*************,0.0,26.74,0.0%,0
30,2023,29*****,383-***********,0.0,67.53,0.0%,0
30,2023,36*****,24*************,0.0,60.14,0.0%,0
30,2023,36*****,36*************,0.0,25.91,0.0%,0
31,2023,29*****,383-***********,0.0,68.9,0.0%,0
31,2023,36*****,24*************,0.0,62.25,0.0%,0
31,2023,36*****,36*************,0.0,37.93,0.0%,0
32,2023,29*****,383-***********,0.0,66.35,0.0%,0
32,2023,36*****,24*************,0.0,80.12,0.0%,0
32,2023,36*****,36*************,0.0,45.67,0.0%,0
33,2023,29*****,383-***********,0.0,60.71,0.0%,0
33,2023,36*****,24*************,0.0,54.01,0.0%,0
33,2023,36*****,36*************,0.0,32.49,0.0%,0
34,2023,29*****,383-***********,0.0,52.02,0.0%,0
34,2023,36*****,24*************,0.0,46.88,0.0%,0
34,2023,36*****,36*************,0.0,28.27,0.0%,0
35,2023,29*****,383-***********,0.0,46.16,0.0%,0
35,2023,36*****,24*************,0.0,42.19,0.0%,0
35,2023,36*****,36*************,0.0,26.04,0.0%,0
36,2023,29*****,383-***********,0.0,49.87,0.0%,0
36,2023,36*****,24*************,0.0,45.11,0.0%,0
36,2023,36*****,36*************,0.0,27.28,0.0%,0
37,2023,29*****,383-***********,0.0,51.77,0.0%,0
37,2023,36*****,24*************,0.0,46.5,0.0%,0
37,2023,36*****,36*************,0.0,28.09,0.0%,0
